Cidade;Nome;Tipo;Endereco;Telefone;Site;Buscado_Como
Borda da Mata;Açai e Cia;Sorveteria;"R. Duque de Caxias, 710 - São Judas, Borda da Mata - MG, 37564-000";3599376824;https://instagram.com/acaiecia_2023?utm_source=qr&igshid=ZDc4ODBmNjlmNQ%3D%3D;lanchonetes
Borda da Mata;Alícia Padaria e confeitaria;Padaria;"Av. Magalhães Pinto, 134 - Centro, Borda da Mata - MG, 37564-000";(35) 3445-2889;;padarias
Borda da Mata;Ana Dallaqua Boutique de Doces;Confeitaria;"R Prof Afonso Antônio Florênciano, 28 - Centro, Borda da Mata - MG, 37564-000";(19) 98228-0990;https://wa.me/55982280990;padarias
Borda da Mata;Apiário Karina;Sorveteria;"Av. Magalhães Pinto, 322 - Santa Terezinha, Borda da Mata - MG, 37564-000";(35) 3445-1465;;padarias
Borda da Mata;Arena da Mata Sport Bar;Bar;"Av. João Olivo Megale - Borda da Mata, MG, 37564-000";(35) 99943-0537;https://instagram.com/arenadamatasportbar?igshid=NzZlODBkYWE4Ng==;bares
Borda da Mata;Ataliba's Beer;Bar;"Av. Magalhães Pinto, 120 - Santa Terezinha, Borda da Mata - MG, 37564-000";(35) 99947-2161;;bares
Borda da Mata;Bar cachoeira;Bar;"Sertãozinho, Borda da Mata - MG, 37564-000";(35) 99743-4034;;bares
Borda da Mata;Bar do Galinha;Bar;"Praça José Pereira Filho, 75 - Sertãozinho, Borda da Mata - MG, 37564-000";(35) 99858-2567;;bares
Borda da Mata;Bar Jeito Mineiro;Bar;"Sertãozinho, Borda da Mata - MG, 37564-000";(35) 99763-0181;;bares
Borda da Mata;Bar Zé da Farinha;Bar;"R. João Porfírio da Silva, 200 - Borda da Mata, MG, 37564-000";(35) 99133-0500;http://www.facebook.com/%20barzedafarinha;restaurantes
Borda da Mata;BARBEARIA GRIFF STYLE CORTE FINO;Barbearia;"R. Duque de Caxias, 530 - Borda da Mata, MG, 37564-000";(35) 99742-4844;https://cashbarber.com.br/griffstyle/inicio/agendamento;lanchonetes
Borda da Mata;Bia bolos;Confeitaria;"R. Santa Rita de Cássia - Borda da Mata, MG, 37564-000";(35) 99743-9704;;padarias
Borda da Mata;Cafeteria Origem Mineira;Loja de café;"Avenida Luiz Cardoso Pinto, R. São Benedito, 1400, Borda da Mata - MG, 37564-000";(35) 99995-2303;;restaurantes
Borda da Mata;CarretaBurguer Food Truck;Lanchonete;"Pracinha do Cristo - Av. Bela Vista - Santa Helena, Lagoa da Prata - MG, 35590-000";(37) 99171-1000;https://www.goomer.app/carretaburguer-food-truck;food truck
Borda da Mata;Casa de Carnes Nelore;;"R. Cel José Inácio, 150 - Borda da Mata, MG, 37564-000";(35) 3445-1101;;açougues
